iter	Passed	Remaining
0	38	19292
1	72	18163
2	108	18018
3	144	17930
4	175	17345
5	208	17159
6	240	16972
7	277	17080
8	311	17004
9	341	16753
10	373	16625
11	407	16571
12	439	16465
13	474	16459
14	506	16369
15	538	16279
16	571	16243
17	602	16128
18	635	16095
19	665	15963
20	695	15871
21	725	15765
22	757	15703
23	788	15637
24	821	15602
25	851	15529
26	882	15468
27	915	15434
28	949	15424
29	982	15397
30	1014	15349
31	1044	15270
32	1084	15347
33	1118	15335
34	1151	15298
35	1182	15238
36	1211	15159
37	1241	15098
38	1272	15037
39	1300	14954
40	1332	14916
41	1362	14855
42	1390	14780
43	1422	14745
44	1459	14753
45	1496	14769
46	1530	14749
47	1563	14718
48	1592	14656
49	1625	14628
50	1656	14582
51	1692	14577
52	1726	14564
53	1759	14530
54	1792	14500
55	1826	14485
56	1857	14435
57	1883	14355
58	1915	14315
59	1943	14254
60	1974	14213
61	2006	14173
62	2035	14116
63	2069	14099
64	2100	14056
65	2132	14021
66	2159	13956
67	2190	13913
68	2224	13897
69	2255	13853
70	2294	13865
71	2328	13838
72	2363	13825
73	2395	13789
74	2426	13749
75	2458	13715
76	2494	13701
77	2532	13701
78	2567	13680
79	2602	13664
80	2636	13637
81	2673	13626
82	2705	13590
83	2737	13554
84	2768	13518
85	2802	13489
86	2835	13461
87	2870	13440
88	2902	13404
89	2936	13376
90	2969	13348
91	3001	13311
92	3033	13276
93	3069	13256
94	3104	13233
95	3137	13202
96	3167	13161
97	3199	13124
98	3230	13086
99	3264	13059
100	3296	13024
101	3329	12992
102	3360	12953
103	3389	12906
104	3416	12854
105	3446	12809
106	3474	12760
107	3501	12708
108	3534	12680
109	3564	12636
110	3591	12585
111	3621	12545
112	3651	12504
113	3681	12464
114	3710	12420
115	3739	12379
116	3773	12351
117	3806	12323
118	3837	12285
119	3871	12259
120	3904	12230
121	3933	12188
122	3971	12173
123	4003	12139
124	4037	12113
125	4072	12089
126	4110	12072
127	4144	12044
128	4176	12011
129	4210	11982
130	4240	11945
131	4273	11913
132	4306	11884
133	4338	11849
134	4365	11803
135	4399	11774
136	4429	11736
137	4457	11692
138	4485	11648
139	4514	11609
140	4544	11571
141	4575	11535
142	4607	11501
143	4639	11470
144	4668	11429
145	4695	11384
146	4721	11337
147	4746	11289
148	4775	11250
149	4801	11203
150	4833	11171
151	4864	11136
152	4895	11102
153	4929	11075
154	4964	11050
155	4997	11020
156	5030	10990
157	5063	10960
158	5092	10921
159	5121	10882
160	5148	10840
161	5180	10809
162	5210	10772
163	5238	10733
164	5268	10697
165	5304	10672
166	5334	10636
167	5365	10603
168	5393	10563
169	5423	10527
170	5452	10490
171	5484	10458
172	5511	10417
173	5538	10376
174	5567	10339
175	5594	10299
176	5625	10266
177	5655	10230
178	5685	10195
179	5714	10158
180	5746	10128
181	5778	10096
182	5808	10062
183	5842	10033
184	5876	10005
185	5906	9971
186	5938	9939
187	5969	9906
188	5998	9870
189	6029	9838
190	6058	9802
191	6090	9770
192	6120	9736
193	6154	9707
194	6183	9672
195	6214	9638
196	6245	9606
197	6278	9575
198	6309	9542
199	6339	9509
200	6371	9477
201	6398	9439
202	6432	9410
203	6462	9376
204	6494	9345
205	6526	9314
206	6559	9285
207	6592	9254
208	6624	9224
209	6655	9190
210	6685	9157
211	6718	9127
212	6748	9092
213	6782	9063
214	6812	9030
215	6842	8997
216	6870	8959
217	6900	8926
218	6930	8892
219	6960	8858
220	6990	8825
221	7021	8792
222	7050	8757
223	7078	8722
224	7113	8694
225	7148	8667
226	7181	8637
227	7215	8607
228	7249	8579
229	7285	8552
230	7317	8521
231	7348	8489
232	7381	8458
233	7414	8428
234	7447	8398
235	7480	8367
236	7511	8335
237	7541	8301
238	7573	8270
239	7604	8238
240	7636	8206
241	7672	8179
242	7706	8150
243	7740	8121
244	7775	8092
245	7807	8061
246	7837	8027
247	7873	8000
248	7910	7973
249	7940	7940
250	7968	7905
251	8000	7873
252	8029	7839
253	8061	7807
254	8093	7775
255	8122	7741
256	8150	7706
257	8181	7673
258	8209	7638
259	8238	7604
260	8267	7570
261	8295	7535
262	8327	7504
263	8357	7471
264	8386	7437
265	8413	7401
266	8443	7368
267	8471	7333
268	8503	7302
269	8533	7269
270	8564	7237
271	8597	7206
272	8627	7174
273	8661	7144
274	8694	7113
275	8727	7083
276	8757	7050
277	8786	7016
278	8813	6981
279	8840	6946
280	8868	6911
281	8896	6877
282	8928	6846
283	8956	6812
284	8986	6779
285	9015	6746
286	9043	6711
