player_id,name_first,name_last,hand,birthdate,country
100011,Torben,Ulrich,L,1932-10-04,DEN
100016,Ken,Rosewall,R,1934-11-02,AUS
100022,Roy,Emerson,R,1936-11-03,AUS
100025,Barry,Phillips Moore,R,1937-07-09,AUS
100026,Andres,Gimeno,R,1937-08-03,ESP
100029,Rod,Laver,L,1938-08-09,AUS
100030,Fred,Stolle,R,1938-10-08,AUS
100035,Ion,Tiriac,R,1939-05-09,ROU
100037,Nikola,Pilic,L,1939-08-27,CRO
100038,Jaime,Pinto Bravo,R,1939-10-09,CHI
100039,Boro,Jovanovic,R,1939-10-21,CRO
100040,Bob,Hewitt,R,1940-01-12,RSA
100045,John,Paish,L,1940-03-23,GBR
100047,Bob,Carmichael,R,1940-07-04,AUS
100049,Jim,Mcmanus,L,1940-09-16,USA
100050,Martin,Mulligan,R,1940-10-18,AUS
100054,Jose,Mandarino,R,1941-03-26,BRA
100055,Cliff,Drysdale,R,1941-05-26,RSA
100056,Harald,Elschenbroich,R,1941-06-19,GER
100057,Pierre,Barthes,R,1941-09-13,FRA
100058,Roger,Taylor,L,1941-10-14,GBR
100060,Marty,Riessen,R,1941-12-04,USA
100061,Tom,Edlefsen,R,1941-12-12,USA
100062,Francois,Jauffret,R,1942-02-09,FRA
100064,Juan,Gisbert,R,1942-04-05,ESP
100065,Terry,Ryan,R,1942-04-27,RSA
100066,Frank,Froehling,R,1942-05-19,USA
100067,Frew,Mcmillan,R,1942-05-20,RSA
100073,Mark,Cox,L,1943-07-05,GBR
100074,Arthur,Ashe,R,1943-07-10,USA
100075,Owen,Davidson,L,1943-10-04,AUS
100076,Milan,Holecek,R,1943-10-23,CZE
100078,Clark,Graebner,R,1943-11-04,USA
100080,Szabolcz,Baranyi,R,1944-01-31,HUN
100081,Charlie,Pasarell,R,1944-02-12,USA
100082,Roger,Dowdeswell,R,1944-02-16,ZIM
100083,Nicola,Spear,R,1944-02-22,SRB
100084,Tom,Okker,R,1944-02-22,NED
100085,Hans Jaochim,Plotz,R,1944-02-26,GER
100087,John,Newcombe,R,1944-05-23,AUS
100088,Patricio,Cornejo,R,1944-06-06,CHI
100090,Dick,Crealy,R,1944-09-18,AUS
100091,Colin,Dibley,R,1944-09-19,AUS
100092,Alex,Metreveli,R,1944-11-02,RUS
100093,William,Brown,R,1945-01-14,USA
100098,Ove Nils,Bengtson,R,1945-04-05,SWE
100099,Thomaz,Koch,L,1945-05-11,BRA
100100,Tony,Roche,L,1945-05-17,AUS
100105,Allan,Stone,R,1945-10-14,AUS
100106,Graham,Stilwell,R,1945-11-15,GBR
100109,Jun,Kuki,R,1945-12-28,JPN
100110,Terry,Addison,R,1946-01-11,AUS
100113,Jan,Kodes,R,1946-03-01,CZE
100114,Ray,Ruffels,R,1946-03-23,AUS
100115,Jaime,Fillol,R,1946-06-03,CHI
100116,Sherwood,Stewart,R,1946-06-06,USA
100117,Butch,Seewagen,R,1946-06-13,USA
100118,Ivan,Molina,L,1946-06-16,COL
100119,Ilie,Nastase,R,1946-07-19,ROU
100120,Robert,Maud,R,1946-08-12,RSA
100121,Raymond,Moore,R,1946-08-24,RSA
100122,Julian,Ganzabal,R,1946-08-25,ARG
100125,John,Cooper,R,1946-11-04,AUS
100126,Stan,Smith,R,1946-12-14,USA
100127,Tom,Gorman,R,1946-12-19,USA
100128,Cliff,Richey,R,1946-12-31,USA
100129,Jean Baptiste,Chanfreau,R,1947-01-17,FRA
100130,Vladimir,Zednik,R,1947-02-01,CZE
100133,Pat,Cramer,R,1947-03-21,RSA
100135,Onny,Parun,R,1947-04-15,NZL
100137,Han Jurgen,Pohmann,R,1947-05-23,GER
100139,Gerald,Battrick,R,1947-05-27,GBR
100141,Zeljko,Franulovic,R,1947-06-13,CRO
100142,Peter,Szoke,R,1947-08-08,HUN
100144,Robert,Lutz,R,1947-08-29,USA
100145,Dick,Dell,R,1947-09-29,USA
100146,Jun,Kamiwazumi,R,1947-10-01,JPN
100147,Marcello,Lara,R,1947-10-05,MEX
100148,Ismail,El Shafei,R,1947-11-15,EGY
100149,Toshiro,Sakai,R,1947-11-23,JPN
100156,Jasjit,Singh,R,1948-02-04,IND
100158,John,Bartlett,R,1948-03-17,AUS
100160,Georges,Goven,R,1948-04-26,FRA
100161,Jurgen,Fassbender,R,1948-05-28,GER
100162,Brian,Fairlie,R,1948-06-13,NZL
100163,Tom,Leonard,R,1948-07-15,USA
100169,Ian,Fletcher,R,1948-12-01,AUS
100170,Bernard,Mignot,R,1948-12-03,BEL
100171,John,Yuill,R,1948-12-12,RSA
100172,Modesto Tito,Vazquez,R,1949-01-01,ESP
100173,Andrew,Pattison,R,1949-01-30,USA
100174,Manuel,Orantes,L,1949-02-06,ESP
100176,Hans,Kary,L,1949-02-23,AUT
100178,Bob,Giltinan,R,1949-04-07,AUS
100179,Karl,Meiler,R,1949-04-30,GER
100182,Mike,Estep,R,1949-07-19,USA
100185,Patrick,Proisy,R,1949-09-10,FRA
100186,Jeff,Borowiak,R,1949-09-25,USA
100190,Norman,Holmes,R,1949-10-05,USA
100193,Wanaro,Ngodrella,R,1949-10-19,FRA
100196,Haroon,Rahim,R,1949-11-12,PAK
100197,Alejandro,Pierola,R,1949-11-20,CHI
100198,Alvaro,Betancur,R,1950-01-03,COL
100199,Patrice,Dominguez,L,1950-01-12,FRA
100200,Antonio,Zugarelli,R,1950-01-17,ITA
100201,Syd,Ball,R,1950-01-24,AUS
100203,Phil,Dent,R,1950-02-14,AUS
100205,Paul,Gerken,R,1950-03-15,USA
100210,Steve,Docherty,R,1950-05-06,AUS
100211,Louk,Sanders,R,1950-05-09,NED
100214,Adriano,Panatta,R,1950-07-09,ITA
100215,Fred,Mcnair,R,1950-07-22,USA
100216,Charles,Owens,R,1950-07-31,USA
100219,Geoff,Masters,R,1950-09-19,AUS
100220,Jiri,Hrebec,R,1950-09-19,CZE
100221,Carlos,Kirmayr,R,1950-09-23,BRA
100223,Jeff,Simpson,R,1950-10-29,NZL
100226,Mike,Machette,R,1951-01-27,USA
100227,Alvin,Gardiner,R,1951-02-11,AUS
100228,Kjell,Johansson,R,1951-02-12,SWE
100229,Dick,Stockton,R,1951-02-18,USA
100231,Erik,Van Dillen,R,1951-02-21,USA
100232,Eddie,Dibbs,R,1951-02-23,USA
100233,Ricardo,Cano,R,1951-02-26,ARG
100235,Antonio,Munoz,R,1951-03-01,ESP
100236,John,James,R,1951-03-07,AUS
100240,Joao,Soares,R,1951-04-25,BRA
100243,Steve,Krulevitz,R,1951-05-30,USA
100244,John,Alexander,R,1951-07-04,AUS
100245,Jeff,Austin,R,1951-07-05,USA
100247,Rolf,Thung,L,1951-07-27,NED
100249,Paolo,Bertolucci,R,1951-08-03,ITA
100251,Grover Raz,Reid,R,1951-08-27,USA
100252,Tim,Gullikson,R,1951-09-08,USA
100253,Tom,Gullikson,L,1951-09-08,USA
100255,Roscoe,Tanner,L,1951-10-15,USA
100257,Ross,Case,R,1951-11-01,AUS
100258,Jorge,Andrew,R,1951-11-02,VEN
100259,Peter,Feigl,R,1951-11-30,AUT
100261,Brian,Gottfried,R,1952-01-27,USA
100262,Rolf,Norberg,R,1952-01-31,SWE
100263,John,Andrews,R,1952-02-05,USA
100265,Cliff,Letcher,R,1952-02-09,AUS
100266,John,Feaver,R,1952-02-16,GBR
100270,Anand,Amritraj,R,1952-03-20,IND
100271,Jean Francois,Caujolle,L,1952-03-31,FRA
100272,Sandy,Mayer,R,1952-04-05,USA
100273,Kim,Warwick,R,1952-04-08,AUS
100274,Eric,Deblicker,R,1952-04-17,FRA
100276,Terry,Moor,L,1952-04-23,USA
100278,Frank,Gebert,R,1952-06-11,GER
100279,Mike,Cahill,R,1952-06-17,USA
100280,Wojtek,Fibak,R,1952-08-03,POL
100281,Sashi,Menon,R,1952-08-09,IND
100282,Guillermo,Vilas,L,1952-08-17,ARG
100284,Jimmy,Connors,L,1952-09-02,USA
100285,Rod,Frawley,R,1952-09-08,AUS
100286,Harold,Solomon,R,1952-09-17,USA
100287,Robin,Drysdale,R,1952-09-18,GBR
100289,Byron,Bertram,R,1952-10-29,RSA
100293,John,Marks,R,1952-12-09,AUS
100297,Corrado,Barazzutti,R,1953-02-19,ITA
100299,James Chico,Hagey,R,1953-02-25,USA
100300,Jose,Higueras,R,1953-03-01,ESP
100301,Jim,Delaney,R,1953-03-12,USA
100304,Robert,Kreiss,R,1953-04-30,USA
100309,Raul,Ramirez,R,1953-06-20,MEX
100313,Keith,Richardson,R,1953-08-18,USA
100314,Bernard,Fritz,R,1953-10-05,FRA
100315,Hank,Pfister,R,1953-10-09,USA
100317,Stephen,Warboys,R,1953-10-25,GBR
100319,Rick,Fagel,R,1953-11-29,USA
100321,Vijay,Amritraj,R,1953-12-14,IND
100323,Givaldo,Barbosa,R,1954-01-25,BRA
100324,John,Whitlinger,R,1954-02-04,USA
100325,Ulrich,Pinner,R,1954-02-07,GER
100326,Russell,Simpson,R,1954-02-22,NZL
100327,Willem,Prinsloo,R,1954-02-25,RSA
100331,Jean Louis,Haillet,R,1954-05-07,FRA
100332,Balazs,Taroczy,R,1954-05-09,HUN
100337,Mark,Edmondson,R,1954-06-24,AUS
100339,Victor,Amaya,L,1954-07-02,USA
100342,Vitas,Gerulaitis,R,1954-07-26,USA
100343,John,Lloyd,R,1954-08-27,GBR
100345,Pat,Dupre,R,1954-09-16,USA
100346,Paul,Kronk,R,1954-09-22,AUS
100354,Bernard,Mitton,R,1954-11-09,RSA
100356,Paul,Mcnamee,R,1954-11-12,AUS
100358,Mike,Fishbach,R,1954-12-01,USA
100359,Richard,Lewis,L,1954-12-06,GBR
100360,Brian,Teacher,R,1954-12-23,USA
100362,Peter,Fleming,R,1955-01-21,USA
100363,Jiri,Granat,R,1955-01-28,CZE
100367,Belus,Prajoux,R,1955-02-27,CHI
100368,Haroon,Ismail,R,1955-02-27,ZIM
100372,Trey,Waltke,R,1955-03-16,USA
100374,Javier,Soler,L,1955-03-25,ESP
100375,John,Hayes,R,1955-04-07,USA
100376,Buster C,Mottram,R,1955-04-25,GBR
100377,Colin,Dowdeswell,R,1955-05-12,GBR
100378,David,Schneider,R,1955-05-17,USA
100380,Butch,Walts,R,1955-06-04,USA
100383,Peter,Mcnamara,R,1955-07-05,AUS
100390,Trevor,Allan,L,1955-08-17,AUS
100392,Richard,Meyer,R,1955-09-04,USA
100393,Marcos,Hocevar,R,1955-09-26,BRA
100394,Angel,Gimenez,R,1955-10-10,ESP
100395,Victor,Pecci,R,1955-10-15,PAR
100398,Julio,Goes,R,1955-10-25,BRA
100402,Francisco,Gonzalez,R,1955-11-19,PAR
100403,Rolf,Gehring,R,1955-11-25,GER
100406,Greg,Halder,R,1955-12-05,CAN
100411,Pavel,Slozil,R,1955-12-29,CZE
100415,Michael,Grant,R,1956-02-03,USA
100417,Hans,Gildemeister,R,1956-02-09,CHI
100422,Bruce,Manson,L,1956-03-20,USA
100428,Gene,Mayer,R,1956-04-11,USA
100434,Tomas,Smid,R,1956-05-20,CZE
100436,Nick,Saviano,L,1956-06-05,USA
100437,Bjorn,Borg,R,1956-06-06,SWE
100438,Carlos,Gattiker,R,1956-06-06,ARG
100440,Eddie,Edwards,R,1956-07-03,RSA
100443,Christophe,Freyss,L,1956-08-30,FRA
100444,Werner,Zirngibl,R,1956-09-04,GER
100445,Steve,Denton,R,1956-09-05,USA
100446,John,Sadri,R,1956-09-19,USA
100449,Stanislav,Birner,R,1956-10-11,CZE
100452,Bill,Scanlon,R,1956-11-13,USA
100453,Jose Luis,Damiani,R,1956-11-21,URU
100456,Ferdi,Taygan,R,1956-12-05,USA
100460,Jose,Lopez Maeso,R,1956-12-24,ESP
100461,Billy,Martin,R,1956-12-25,USA
100468,Dominique,Bedel,R,1957-02-20,FRA
100474,Chris,Lewis Nzl,R,1957-03-09,NZL
100475,Matt,Mitchell,R,1957-03-16,USA
100477,Gianni,Ocleppo,R,1957-04-06,ITA
100486,Christophe Roger,Vasselin,R,1957-07-08,FRA
100489,Larry,Stefanki,R,1957-07-23,USA
100490,Jaroslav,Navratil,R,1957-07-24,CZE
100492,John,Austin,R,1957-07-31,USA
100502,Vincent,Van Patten,R,1957-10-17,USA
100515,Shlomo,Glickstein,R,1958-01-06,ISR
100517,Matt,Doyle,R,1958-01-13,USA
100518,Ricardo,Acuna,R,1958-01-13,CHI
100523,Erick,Iskersky,R,1958-01-25,USA
100526,Ricardo,Ycaza,R,1958-02-16,ECU
100529,Kevin,Curren,R,1958-03-02,USA
100530,Andreas,Maurer,R,1958-03-08,GER
100532,Johan,Kriek,R,1958-04-05,USA
100534,Steve,Meister,R,1958-04-21,USA
100535,Tony,Giammalva,R,1958-04-21,USA
100536,Fernando,Luna,R,1958-04-24,ESP
100540,Drew,Gitlin,R,1958-05-26,USA
100543,Peter,Elter,R,1958-06-10,GER
100545,Deon,Joubert,L,1958-06-19,RSA
100546,Eric,Fromm,R,1958-06-27,USA
100548,Ivan,Kley,R,1958-06-29,BRA
100551,Brad,Drewett,L,1958-07-19,AUS
100553,Nduka,Odizor,R,1958-08-09,NGR
100555,Jose Luis,Clerc,R,1958-08-16,ARG
100565,Lloyd,Bourne,R,1958-10-18,USA
100567,Chip,Hooper,R,1958-10-24,USA
100570,Marty,Davis,R,1958-11-15,USA
100574,Peter,Rennert,L,1958-12-26,USA
100579,Heinz,Gunthardt,R,1959-02-08,SUI
100581,John,Mcenroe,L,1959-02-16,USA
100585,Van,Winitsky,L,1959-03-12,USA
100586,Eliot,Teltscher,R,1959-03-15,USA
100592,Robert,Vant Hof,R,1959-04-10,USA
100597,Jay,Lapidus,L,1959-05-01,USA
100598,Wolfgang,Popp,R,1959-05-19,GER
100599,Bernard,Boileau,R,1959-05-25,BEL
100600,Pascal,Portes,R,1959-05-28,FRA
100603,Roland,Stadler,U,1959-06-14,SUI
100606,Mike,Bauer,R,1959-06-29,USA
100607,Eduardo,Bengoechea,R,1959-07-02,ARG
100609,Zoltan,Kuharszky,R,1959-07-08,HUN
100611,Mel,Purcell,R,1959-07-18,USA
100617,Bud,Schultz,R,1959-08-21,USA
100618,Leif,Shiras,R,1959-08-21,USA
100624,Derek,Tarr,L,1959-09-15,USA
100628,Michiel,Schapers,R,1959-10-11,NED
100630,Gustavo,Guerrero,L,1959-10-22,ARG
100631,Tim,Wilkison,L,1959-11-23,USA
100635,Mark,Dickson,R,1959-12-08,USA
100639,Blaine,Willenborg,R,1960-01-04,USA
100640,Stefan,Simonsson,R,1960-01-05,SWE
100644,Alexander,Zverev,R,1997-04-20,GER
100645,Huub,Van Boeckel,R,1960-01-25,NED
100646,Claudio,Panatta,R,1960-02-02,ITA
100649,David,Dowlen,R,1960-02-03,USA
100651,Alejandro,Ganzabal,R,1960-02-16,ARG
100652,Cassio,Motta,R,1960-02-22,BRA
100653,Andres,Gomez,L,1960-02-27,ECU
100655,Fritz,Buehning,R,1960-03-05,USA
100656,Ivan,Lendl,R,1960-03-07,USA
100657,Mike,Leach,L,1960-03-09,USA
100660,Bob,Green,R,1960-03-25,USA
100661,Damir,Keretic,R,1960-03-26,GER
100663,Marcel,Freeman,R,1960-03-30,USA
100667,Per,Hjertquist,R,1960-04-06,SWE
100676,Yannick,Noah,R,1960-05-18,FRA
100689,Tim,Mayotte,R,1960-08-03,USA
100701,Marko,Ostoja,R,1960-10-20,CRO
100711,Pedro,Rebolledo,R,1960-12-17,CHI
100713,John,Fitzgerald,R,1960-12-28,AUS
100714,Broderick,Dyke,L,1960-12-31,AUS
100719,Juan,Avendano,R,1961-01-29,ESP
100727,Raul Antonio,Viver,L,1961-03-17,ECU
100728,Todd,Nelson,R,1961-03-18,USA
100730,Florin,Segarceanu,R,1961-03-29,ROU
100740,Dan,Cassidy,R,1961-04-29,USA
100742,Christo,Steyn,R,1961-05-01,RSA
100744,Peter,Doohan,R,1961-05-02,AUS
100747,Glenn,Layendecker,L,1961-05-09,USA
100752,Ramesh,Krishnan,R,1961-06-05,IND
100757,Anders,Jarryd,R,1961-07-13,SWE
100759,Danie,Visser,L,1961-07-26,RSA
100763,Brad,Gilbert,R,1961-08-09,USA
100765,Rodney,Harmon,R,1961-08-16,USA
100769,Mario,Martinez,R,1961-09-12,BOL
100772,Kelly,Evernden,R,1961-09-21,NZL
100780,Mike,De Palmer,L,1961-10-17,USA
100782,Pablo,Arraya,R,1961-10-21,PER
100797,Ben,Testerman,L,1962-02-02,USA
100800,Diego,Perez,R,1962-02-09,URU
100809,Juan,Aguilera,R,1962-03-22,ESP
100810,Paul,Chamberlin,R,1962-03-26,USA
100815,David,Pate,R,1962-04-16,USA
100821,Hans,Simonsson,R,1962-05-01,SWE
100829,Jan,Gunnarsson,R,1962-05-30,SWE
100830,Gary,Donnelly,R,1962-06-03,USA
100833,Marc,Flur,R,1962-06-08,USA
100836,Glenn,Michibata,R,1962-06-13,CAN
100837,Jeremy,Bates,R,1962-06-19,GBR
100844,Jerome,Potier,L,1962-07-18,FRA
100848,Alberto,Tous,R,1962-08-03,ESP
100855,Scott,Davis,R,1962-08-27,USA
100857,Sergio,Casal,R,1962-09-08,ESP
100864,Martin,Wostenholme,R,1962-10-11,CAN
100865,Marcelo,Ingaramo,L,1962-10-13,ARG
100866,Shahar,Perkiss,R,1962-10-14,ISR
100870,Christo,Van Rensburg,R,1962-10-23,RSA
100884,Steve,Shaw,R,1963-01-01,GBR
100887,Eric,Korita,R,1963-01-13,USA
100893,Joakim,Nystrom,R,1963-02-20,SWE
100894,Francesco,Cancellotti,R,1963-02-27,ITA
100900,Josef,Cihak,R,1963-03-19,CZE
100901,Paul,Annacone,R,1963-03-20,USA
100905,Sammy,Giammalva Jr,R,1963-03-24,USA
100908,Tobias,Svantesson,R,1963-04-01,SWE
100920,Robert,Seguso,R,1963-05-01,USA
100922,Roberto,Arguello,U,1963-05-12,ARG
100923,Wally,Masur,R,1963-05-13,AUS
100924,Jorge,Lozano,R,1963-05-17,MEX
100926,Ken,Flach,R,1963-05-24,USA
100928,Barry,Moir,R,1963-06-01,RSA
100930,Paul,Vojtischek,R,1963-06-13,GER
100934,Matt,Anger,R,1963-06-20,USA
100936,Henri,Leconte,L,1963-07-04,FRA
100939,Joey,Rive,L,1963-07-08,USA
100942,Thierry,Tulasne,R,1963-07-12,FRA
100944,Mikael,Pernfors,R,1963-07-16,SWE
100946,Slobodan,Zivojinovic,R,1963-07-23,YUG
100950,Libor,Pimek,R,1963-08-03,BEL
100954,Luiz,Mattar,R,1963-08-18,BRA
100955,Yahiya,Doumbia,R,1963-08-25,SEN
100956,Simone,Colombo,R,1963-08-28,ITA
100957,Greg,Holmes,R,1963-08-29,USA
100962,Thomas,Hogstedt,R,1963-09-21,SWE
100967,Dan,Goldie,R,1963-10-03,USA
100970,Stefan,Eriksson,R,1963-10-17,SWE
100972,Todd,Witsken,R,1963-11-04,USA
100978,Andrew,Castle,R,1963-11-15,GBR
100990,Milan,Srejber,R,1963-12-30,CZE
100995,Eduardo,Masso,L,1964-01-11,BEL
100997,Roger,Smith,R,1964-01-20,BAH
101000,Carl,Limberger,R,1964-01-24,AUS
101004,Jim,Pugh,R,1964-02-05,USA
101012,Massimiliano,Narducci,R,1964-02-25,ITA
101013,Henrik,Sundstrom,R,1964-02-29,SWE
101014,John,Ross,R,1964-02-29,USA
101016,Marcos Aurelio,Gorriz,L,1964-03-04,ESP
101020,Hans,Schwaier,R,1964-03-24,GER
101022,Kelly,Jones,R,1964-03-31,USA
101026,Jim,Grabb,R,1964-04-14,USA
101029,Ricki,Osterthun,R,1964-05-02,GER
101030,Goran,Prpic,R,1964-05-04,CRO
101035,Menno,Oosting,R,1964-05-17,NED
101036,Miloslav,Mecir,R,1964-05-19,SVK
101048,Francisco,Maciel,R,1964-07-01,MEX
101050,Martin,Laurendeau,R,1964-07-10,CAN
101058,Francisco,Yunis,R,1964-08-12,ARG
101061,Jimmy,Arias,R,1964-08-16,USA
101062,Mats,Wilander,R,1964-08-22,SWE
101063,Jordi,Arrese,R,1964-08-29,ESP
101066,Richard,Matuszewski,R,1964-09-07,USA
101071,Tom,Nijssen,R,1964-10-01,NED
101073,Martin,Jaite,R,1964-10-09,ARG
101074,Carlos,Di Laura,L,1964-10-19,PER
101080,Lawson,Duncan,R,1964-10-26,USA
101084,Jakob,Hlasek,R,1964-11-12,SUI
101086,Ronald,Agenor,R,1964-11-13,USA
101096,Gary,Muller,L,1964-12-27,RSA
101098,Guy,Forget,L,1965-01-04,FRA
101106,Peter,Lundgren,R,1965-01-29,SWE
101109,Tarik,Benhabiles,R,1965-02-05,FRA
101110,David,De Miguel,R,1965-02-07,ESP
101113,Michael,Westphal,R,1965-02-19,GER
101117,Eric,Jelen,R,1965-03-11,GER
101119,Marian,Vajda,R,1965-03-24,SVK
101120,Karel,Novacek,R,1965-03-30,CZE
101123,Alexander,Mronz,R,1965-04-07,GER
101124,Paolo,Cane,R,1965-04-09,ITA
101126,Chris,Pridham,R,1965-04-11,CAN
101131,Jimmy,Brown,R,1965-04-28,USA
101133,Patrick,Baur,R,1965-05-03,GER
101138,Pat,Cash,R,1965-05-27,AUS
101142,Emilio,Sanchez,R,1965-05-29,ESP
101143,Branislav,Stankovic,R,1965-05-30,SVK
101145,Jonathan,Canter,R,1965-06-04,USA
101147,Claudio,Mezzadri,R,1965-06-10,SUI
101150,Gianluca,Pozzi,L,1965-06-17,ITA
101154,Simon,Youl,R,1965-07-01,AUS
101158,John,Frawley,R,1965-07-04,AUS
101174,Fernando,Roese,R,1965-08-24,BRA
101178,Pieter,Aldrich,R,1965-09-07,RSA
101179,Jean Philippe,Fleurian,R,1965-09-11,FRA
101185,Mark,Woodforde,L,1965-09-23,AUS
101190,Darren,Cahill,R,1965-10-02,AUS
101191,Richey,Reneberg,R,1965-10-05,USA
101195,Amos,Mansdorf,R,1965-10-20,ISR
101196,Derrick,Rostagno,R,1965-10-25,USA
101201,Danny,Granot,R,1965-11-11,USA
101205,Grant,Connell,L,1965-11-17,CAN
101214,Bryan,Shelton,R,1965-12-22,USA
101216,Olli,Rahnasto,R,1965-12-28,FIN
101222,Stefan,Edberg,R,1966-01-19,SWE
101226,Johan,Carlsson,R,1966-01-29,SWE
101230,Andrei,Chesnokov,R,1966-02-02,RUS
101232,Nicklas,Kroon,R,1966-02-05,SWE
101233,Alex,Antonitsch,R,1966-02-08,AUT
101234,Patrik,Kuhnen,R,1966-02-11,GER
101235,Paul,Haarhuis,R,1966-02-19,NED
101237,Danilo,Marcelino,R,1966-03-08,BRA
101238,Andres,Vysand,R,1966-03-10,GER
101242,Brad,Pearce,R,1966-03-21,USA
101243,Roberto,Azar,L,1966-03-21,ARG
101249,Andrei,Olhovskiy,R,1966-04-15,RUS
101251,Eric,Winogradsky,R,1966-04-22,FRA
101256,Mark,Kratzmann,L,1966-05-17,AUS
101265,Patrick,Mcenroe,R,1966-07-01,USA
101274,Udo,Riglewski,R,1966-07-28,GER
101276,Horacio,De La Pena,L,1966-08-01,ARG
101284,Lars Anders,Wahlgren,R,1966-08-24,SWE
101285,Thierry,Champion,R,1966-08-31,FRA
101298,Jonas,Svensson,R,1966-10-21,SWE
101308,Neil,Broad,R,1966-11-20,GBR
101309,Jay,Berger,R,1966-11-26,USA
101312,Robbie,Weiss,R,1966-12-01,USA
101318,Javier,Frana,L,1966-12-25,ARG
101320,Magnus,Gustafsson,R,1967-01-03,SWE
101324,Ulf,Stenlund,R,1967-01-21,SWE
101332,Gilad,Bloom,L,1967-03-01,ISR
101334,Alexander,Volkov,L,1967-03-03,RUS
101337,Martin,Strelba,R,1967-03-22,CZE
101344,Bruno,Oresar,R,1967-04-21,CRO
101354,Andrew,Sznajder,R,1967-05-25,CAN
101358,Olivier,Delaitre,R,1967-06-01,FRA
101362,Stephane,Simian,L,1967-06-08,FRA
101365,Paul,Wekesa,R,1967-07-02,KEN
101368,Christian,Miniussi,R,1967-07-05,ARG
101373,Karsten,Braasch,L,1967-07-14,GER
101374,Leonardo,Lavalle,L,1967-07-14,MEX
101377,Christian,Bergstrom,R,1967-07-19,SWE
101378,Tore,Meinecke,R,1967-07-21,GER
101381,Aaron,Krickstein,R,1967-08-02,USA
101382,Marcelo,Filippini,R,1967-08-04,URU
101387,Claudio,Pistolesi,R,1967-08-25,ITA
101391,Carl Uwe,Steeb,L,1967-09-01,GER
101393,Jens,Woehrmann,R,1967-09-08,GER
101404,Thomas,Muster,L,1967-10-02,AUT
101409,Jaime,Yzaga,R,1967-10-23,PER
101412,Shuzo,Matsuoka,R,1967-11-06,JPN
101414,Boris,Becker,R,1967-11-22,GER
101421,Veli,Paloheimo,R,1967-12-13,FIN
101426,Kent,Carlsson,R,1968-01-03,SWE
101432,Dimitri,Poliakov,R,1968-01-19,UKR
